city,time,temperature,image
Bogota,Tue 5:22 pm,64 °F,https://c.tadst.com/gfx/w/svg/wt-2.svg
Kolkata,Wed 3:52 am,86 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Seattle,Tue 3:22 pm,59 °F,https://c.tadst.com/gfx/w/svg/wt-6.svg
Boston,Tue 6:22 pm,84 °F,https://c.tadst.com/gfx/w/svg/wt-6.svg
Kuala Lumpur,Wed 6:22 am,81 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Seoul,Wed 7:22 am,68 °F,https://c.tadst.com/gfx/w/svg/wt-18.svg
Brasilia,Tue 7:22 pm,73 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
Kuwait City,Wed 1:22 am,93 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
Shanghai,Wed 6:22 am,75 °F,https://c.tadst.com/gfx/w/svg/wt-6.svg
Brisbane,Wed 8:22 am,66 °F,https://c.tadst.com/gfx/w/svg/wt-33.svg
Kyiv,Wed 1:22 am,64 °F,https://c.tadst.com/gfx/w/svg/wt-17.svg
Singapore,Wed 6:22 am,81 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Brussels,Wed 12:22 am,70 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
La Paz,Tue 6:22 pm,53 °F,https://c.tadst.com/gfx/w/svg/wt-17.svg
Sofia,Wed 1:22 am,59 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
Bucharest,Wed 1:22 am,68 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Lagos,Tue 11:22 pm,77 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
St. John's,Tue 7:52 pm,36 °F,https://c.tadst.com/gfx/w/svg/wt-9.svg
Budapest,Wed 12:22 am,70 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
Lahore,Wed 3:22 am,84 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Stockholm,Wed 12:22 am,48 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
Buenos Aires,Tue 7:22 pm,52 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Las Vegas,Tue 3:22 pm,90 °F,https://c.tadst.com/gfx/w/svg/wt-6.svg
Suva,Wed 10:22 am,75 °F,https://c.tadst.com/gfx/w/svg/wt-2.svg
Cairo,Wed 1:22 am,70 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Lima,Tue 5:22 pm,74 °F,https://c.tadst.com/gfx/w/svg/wt-7.svg
Sydney,Wed 8:22 am,63 °F,https://c.tadst.com/gfx/w/svg/wt-6.svg
Calgary,Tue 4:22 pm,75 °F,https://c.tadst.com/gfx/w/svg/wt-6.svg
Lisbon,Tue 11:22 pm,77 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
Taipei,Wed 6:22 am,84 °F,https://c.tadst.com/gfx/w/svg/wt-6.svg
Canberra,Wed 8:22 am,52 °F,https://c.tadst.com/gfx/w/svg/wt-6.svg
London,Tue 11:22 pm,79 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Tallinn,Wed 1:22 am,52 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
Cape Town,Wed 12:22 am,55 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
Los Angeles,Tue 3:22 pm,67 °F,https://c.tadst.com/gfx/w/svg/wt-7.svg
Tashkent,Wed 3:22 am,66 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Caracas,Tue 6:22 pm,82 °F,https://c.tadst.com/gfx/w/svg/wt-2.svg
Madrid,Wed 12:22 am,72 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
Tegucigalpa,Tue 4:22 pm,88 °F,https://c.tadst.com/gfx/w/svg/wt-2.svg
Casablanca,Tue 11:22 pm,82 °F,https://c.tadst.com/gfx/w/svg/wt-15.svg
Managua,Tue 4:22 pm,91 °F,https://c.tadst.com/gfx/w/svg/wt-2.svg
Tehran,Wed 1:52 am,70 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
Chicago,Tue 5:22 pm,81 °F,https://c.tadst.com/gfx/w/svg/wt-6.svg
Manila,Wed 6:22 am,84 °F,https://c.tadst.com/gfx/w/svg/wt-2.svg
Tokyo,Wed 7:22 am,69 °F,https://c.tadst.com/gfx/w/svg/wt-7.svg
Copenhagen,Wed 12:22 am,59 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Melbourne,Wed 8:22 am,57 °F,https://c.tadst.com/gfx/w/svg/wt-18.svg
Toronto,Tue 6:22 pm,82 °F,https://c.tadst.com/gfx/w/svg/wt-6.svg
Dallas,Tue 5:22 pm,84 °F,https://c.tadst.com/gfx/w/svg/wt-2.svg
Mexico City,Tue 4:22 pm,75 °F,https://c.tadst.com/gfx/w/svg/wt-19.svg
Vancouver,Tue 3:22 pm,61 °F,https://c.tadst.com/gfx/w/svg/wt-6.svg
Dar es Salaam,Wed 1:22 am,75 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Miami,Tue 6:22 pm,86 °F,https://c.tadst.com/gfx/w/svg/wt-6.svg
Vienna,Wed 12:22 am,64 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
Darwin,Wed 7:52 am,70 °F,https://c.tadst.com/gfx/w/svg/wt-1.svg
Minneapolis,Tue 5:22 pm,86 °F,https://c.tadst.com/gfx/w/svg/wt-6.svg
Warsaw,Wed 12:22 am,70 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Denver,Tue 4:22 pm,79 °F,https://c.tadst.com/gfx/w/svg/wt-6.svg
Minsk,Wed 1:22 am,57 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
Washington DC,Tue 6:22 pm,76 °F,https://c.tadst.com/gfx/w/svg/wt-7.svg
Detroit,Tue 6:22 pm,79 °F,https://c.tadst.com/gfx/w/svg/wt-1.svg
Montevideo,Tue 7:22 pm,54 °F,https://c.tadst.com/gfx/w/svg/wt-17.svg
Winnipeg,Tue 5:22 pm,83 °F,https://c.tadst.com/gfx/w/svg/wt-2.svg
Dhaka,Wed 4:22 am,74 °F,https://c.tadst.com/gfx/w/svg/wt-17.svg
Montréal,Tue 6:22 pm,81 °F,https://c.tadst.com/gfx/w/svg/wt-2.svg
Yangon,Wed 4:52 am,79 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Doha,Wed 1:22 am,93 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Moscow,Wed 1:22 am,48 °F,https://c.tadst.com/gfx/w/svg/wt-17.svg
Zagreb,Wed 12:22 am,63 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
Dubai,Wed 2:22 am,88 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
Mumbai,Wed 3:52 am,87 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
Zürich,Wed 12:22 am,66 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
Dublin,Tue 11:22 pm,59 °F,https://c.tadst.com/gfx/w/svg/wt-13.svg
Nairobi,Wed 1:22 am,66 °F,https://c.tadst.com/gfx/w/svg/wt-14.svg
